category,sub_category,spp_gp,trait_val,sheet
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Pareledone panchroma,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Pareledone panchroma,na,cephalopods
foraging range,"if one/few, size",Pareledone panchroma,na,cephalopods
foraging range,sub-population dependence on particular sites,Pareledone panchroma,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Pareledone prydzensis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Pareledone prydzensis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Pareledone prydzensis,na,cephalopods
foraging range,"if one/few, size",Pareledone prydzensis,na,cephalopods
foraging range,sub-population dependence on particular sites,Pareledone prydzensis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Pareledone serperastrata,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Pareledone serperastrata,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Pareledone serperastrata,na,cephalopods
foraging range,"if one/few, size",Pareledone serperastrata,na,cephalopods
foraging range,sub-population dependence on particular sites,Pareledone serperastrata,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Pareledone subtilis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Pareledone subtilis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Pareledone subtilis,na,cephalopods
foraging range,"if one/few, size",Pareledone subtilis,na,cephalopods
foraging range,sub-population dependence on particular sites,Pareledone subtilis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Pareledone turqueti,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Pareledone turqueti,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Pareledone turqueti,na,cephalopods
foraging range,"if one/few, size",Pareledone turqueti,na,cephalopods
foraging range,sub-population dependence on particular sites,Pareledone turqueti,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Bathypurata profundorum,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Bathypurata profundorum,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Bathypurata profundorum,na,cephalopods
foraging range,"if one/few, size",Bathypurata profundorum,na,cephalopods
foraging range,sub-population dependence on particular sites,Bathypurata profundorum,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Bentheledone rotunda,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Bentheledone rotunda,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Bentheledone rotunda,na,cephalopods
foraging range,"if one/few, size",Bentheledone rotunda,na,cephalopods
foraging range,sub-population dependence on particular sites,Bentheledone rotunda,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Thaumeledone gunteri,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Thaumeledone gunteri,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Thaumeledone gunteri,na,cephalopods
foraging range,"if one/few, size",Thaumeledone gunteri,na,cephalopods
foraging range,sub-population dependence on particular sites,Thaumeledone gunteri,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Thaumeledone brevis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Thaumeledone brevis,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Thaumeledone brevis,na,cephalopods
foraging range,"if one/few, size",Thaumeledone brevis,na,cephalopods
foraging range,sub-population dependence on particular sites,Thaumeledone brevis,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Thaumeledone peninsulae,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),"if one/few, size",Thaumeledone peninsulae,na,cephalopods
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,Thaumeledone peninsulae,na,cephalopods
foraging range,"if one/few, size",Thaumeledone peninsulae,na,cephalopods
foraging range,sub-population dependence on particular sites,Thaumeledone peninsulae,na,cephalopods
physiological tolerance breadths,sensitivity to wave energy (physical forcing),Thaumeledone marshalli,na,cephalopods
